STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00411395,"CAMP VERDE, TX US",01-01-00,0,,
USC00411395,"CAMP VERDE, TX US",01-02-00,0,,
USC00411395,"CAMP VERDE, TX US",01-03-00,0,,
USC00411395,"CAMP VERDE, TX US",01-04-00,0,,
USC00411395,"CAMP VERDE, TX US",01-05-00,0,,
USC00411395,"CAMP VERDE, TX US",01-06-00,0,,
USC00411395,"CAMP VERDE, TX US",01-07-00,0,,
USC00411395,"CAMP VERDE, TX US",01-08-00,0,,
USC00411395,"CAMP VERDE, TX US",01-09-00,0,,
USC00411395,"CAMP VERDE, TX US",01-10-00,0,,
USC00411395,"CAMP VERDE, TX US",01-11-00,0,,
USC00411395,"CAMP VERDE, TX US",01-12-00,0,,
USC00411395,"CAMP VERDE, TX US",01-13-00,0,,
USC00411395,"CAMP VERDE, TX US",01-14-00,0,,
USC00411395,"CAMP VERDE, TX US",01-15-00,0,,
USC00411395,"CAMP VERDE, TX US",01-16-00,0,,
USC00411395,"CAMP VERDE, TX US",01-17-00,0,,
USC00411395,"CAMP VERDE, TX US",01-18-00,0,,
USC00411395,"CAMP VERDE, TX US",01-19-00,0,,
USC00411395,"CAMP VERDE, TX US",01-20-00,0,,
USC00411395,"CAMP VERDE, TX US",01-21-00,0,,
USC00411395,"CAMP VERDE, TX US",01-22-00,0,,
USC00411395,"CAMP VERDE, TX US",01-23-00,0,,
USC00411395,"CAMP VERDE, TX US",01-24-00,0,,
USC00411395,"CAMP VERDE, TX US",01-25-00,0,,
USC00411395,"CAMP VERDE, TX US",01-26-00,0,,
USC00411395,"CAMP VERDE, TX US",01-27-00,0,,
USC00411395,"CAMP VERDE, TX US",01-28-00,0,,
USC00411395,"CAMP VERDE, TX US",01-29-00,0,,
USC00411395,"CAMP VERDE, TX US",01-30-00,0,,
USC00411395,"CAMP VERDE, TX US",01-31-00,0,,
USC00411395,"CAMP VERDE, TX US",02-01-00,1.05,,
USC00411395,"CAMP VERDE, TX US",02-02-00,0,,
