"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","MDPR","MDPR_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES"
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-08",,,"0.15",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-09",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-10",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-11",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-12",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-13",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-14",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-15",,,"0.05",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-16",,,"0.02",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-17",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-18",,,"0.06",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-19",,,"0.02",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-20",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-21",,,"0.02",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-22",,,"0.04",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-23",,,"0.02",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-24",,,"0.12",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-25",,,"0.01",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-26",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-27",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-28",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-29",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-30",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-01-31",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-01",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-02",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-03",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-04",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-05",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-06",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-07",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-08",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-09",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-10",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-11",,,"0.01",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-12",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-13",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-14",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-15",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-16",,,"0.12",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-17",,,"0.14",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-18",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-19",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-20",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-21",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-22",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-23",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-24",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-25",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-26",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-27",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-28",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-02-29",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-01",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-02",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-03",,,"0.08",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-04",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-05",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-06",,,"0.00",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-07",,,"0.51",",,N",,,,,,
"US1TXKR0020","KERRVILLE 1.1 SSW, TX US","30.026073","-99.140974","531.6","2008-03-08",,,"0.00",",,N",,,,,,
