STATION,NAME,DATE,AWND,PRCP,TMAX,TMIN
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-01-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-02-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-03-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-04-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-07-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-08-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-09-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-10-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-11-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-12-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-13-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-14-10,,0.07,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-15-10,,0.54,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-16-10,,0.83,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-17-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-18-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-19-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-20-10,,0.03,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-21-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-22-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-23-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-24-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-26-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-28-10,,0.08,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-29-10,,1.51,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-30-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",01-31-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-01-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-02-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-03-10,,0.93,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-04-10,,1.51,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-05-10,,0.17,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-07-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-08-10,,0.05,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-09-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-10-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-11-10,,0.03,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-12-10,,0.25,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-13-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-14-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-15-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-16-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-17-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-18-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-20-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-21-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-22-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-23-10,,0.25,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-24-10,,0.21,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-26-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",02-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-01-10,,0.4,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-02-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-03-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-04-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-07-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-08-10,,0.23,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-09-10,,0.03,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-10-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-11-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-12-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-13-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-14-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-15-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-16-10,,0.55,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-17-10,,0.03,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-18-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-20-10,,0.82,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-21-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-22-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-23-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-24-10,,0.08,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-25-10,,0.25,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-26-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",03-29-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-03-10,,,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-04-10,,0.03,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-07-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-08-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-09-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-10-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-11-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-12-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-13-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-14-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-15-10,,0.44,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-16-10,,1.93,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-17-10,,0.65,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-18-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-20-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-21-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-22-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-23-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-24-10,,1.19,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-26-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-29-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",04-30-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-01-10,,0.14,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-02-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-03-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-04-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-11-10,,,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-12-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-13-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-14-10,,0.06,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-15-10,,1.07,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-16-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-17-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-18-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-20-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-21-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-22-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-23-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-24-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-25-10,,0.19,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-26-10,,1.52,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-27-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-29-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-30-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",05-31-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-01-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-02-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-04-10,,0.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-07-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-08-10,,0.05,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-09-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-10-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-11-10,,0.23,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-12-10,,1.08,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-13-10,,0.03,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-14-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-15-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-16-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-17-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-18-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-20-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-21-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-22-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-23-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-24-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-26-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-29-10,,0.23,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",06-30-10,,0.06,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-01-10,,0.36,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-02-10,,1.01,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-03-10,,1.38,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-04-10,,0.02,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-05-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-06-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-07-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-08-10,,0.29,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-09-10,,0.34,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-10-10,,0.32,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-11-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-12-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-13-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-14-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-15-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-16-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-17-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-18-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-19-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-20-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-21-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-22-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-23-10,,0.03,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-24-10,,0.08,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-25-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-26-10,,0.04,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-27-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-28-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-29-10,,0.15,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-30-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",07-31-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",08-01-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",08-02-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",08-03-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",08-04-10,,0,,
US1TXKR0020,"KERRVILLE 1.1 SSW, TX US",08-05-10,,0,,
