Station_ID, Name, Latitude, Longitude, Elevation (ft), Date_Time (UTC),Precipitation 15min (in), Pressure (hPa), Relative Humidity (%), Soil Temperature 10 cm (f), Soil Temperature 20 cm (f), Soil Temperature 5 cm (f), Soil Volumetric Water Content 10 cm (%), Soil Volumetric Water Content 20 cm (%), Soil Volumetric Water Content 5 cm (%), Solar Radiation (W/m2), Temperature (f), Wind Speed 10m (kn), 
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T20:00:00Z,0,950,34.42,71.71,67.62,82.6,17.3,24,12.2,877,81.03,6.49,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T20:15:00Z,0,949,32.87,72.34,67.64,83.41,17.3,24,12.2,832,81.19,5.02,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T20:30:00Z,0,949,33.1,72.9,67.66,84.18,17.3,24,12.3,831,81.72,4.43,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T20:45:00Z,0,949,30.5,73.42,67.69,84.9,17.4,24,12.3,676.1,82.33,4.28,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T21:00:00Z,0,949,25.36,73.89,67.73,85.48,17.4,24,12.4,733.1,82.4,5.81,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T21:15:00Z,0,949,23.44,74.34,67.77,85.8,17.4,24,12.4,789.7,82.96,6.03,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T21:30:00Z,0,949,23.67,74.73,67.84,86.05,17.4,24,12.4,622.9,82.71,4.63,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T21:45:00Z,0,949,23.23,75.09,67.89,86.27,17.5,24,12.4,634.2,83.08,3.91,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T22:00:00Z,0,949,21.31,75.43,67.98,86.4,17.4,24.1,12.4,581.3,82.76,4.47,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T22:15:00Z,0,949,23.1,75.74,68.05,86.45,17.5,24.1,12.3,363.2,81.99,4.78,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T22:30:00Z,0,949,23.71,76.03,68.16,86.25,17.5,24.1,12.3,385.1,81.32,4.47,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T22:45:00Z,0,949,23.77,76.24,68.25,85.84,17.5,24,12.3,325.1,81.16,5.23,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T23:00:00Z,0,949,25.5,76.37,68.36,85.37,17.5,24,12.2,238.3,80.56,4.39,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T23:30:00Z,0,949,26.72,76.53,68.58,84.25,17.5,24.2,12.1,175.5,79.81,2.72,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-06T23:45:00Z,0,949,28.1,76.51,68.68,83.57,17.5,24.2,12.1,124.7,79.75,3.05,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T00:00:00Z,0,950,31.62,76.48,68.79,82.87,17.5,24.2,12,88.5,78.37,2.84,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T00:15:00Z,0,950,31.76,76.37,68.9,82.17,17.5,24.2,12,60.48,77.25,2.64,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T00:30:00Z,0,950,31.56,76.24,69.03,81.41,17.5,24.2,11.9,35.18,75.83,4.39,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T00:45:00Z,0,950,32.06,76.06,69.13,80.65,17.5,24.2,11.9,15.9,74.82,4.22,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T01:00:00Z,0,950,34.63,75.87,69.24,79.86,17.5,24.2,11.8,4.89,73.56,3.03,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T01:15:00Z,0,950,37.03,75.63,69.33,79.05,17.5,24.1,11.8,0.11,72.46,2.82,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T01:30:00Z,0,951,44.81,75.38,69.44,78.26,17.5,24.2,11.7,0,71.51,3.21,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T01:45:00Z,0,951,45.05,75.11,69.51,77.52,17.5,24.2,11.7,0,71.33,2.84,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T02:00:00Z,0,951,49.27,74.82,69.6,76.86,17.5,24.2,11.6,0,70.97,2.53,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T02:15:00Z,0,951,54.28,74.53,69.67,76.24,17.4,24.2,11.6,0,70.52,1.65,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T02:30:00Z,0,951,53.53,74.25,69.75,75.72,17.4,24.2,11.6,0,69.87,2.12,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T02:45:00Z,0,952,55.43,73.98,69.84,75.22,17.4,24.2,11.5,0,69.46,1.63,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T03:00:00Z,0,952,53.8,73.71,69.87,74.79,17.4,24.3,11.5,0,69.04,1.28,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T03:15:00Z,0,952,61.17,73.45,69.91,74.35,17.4,24.3,11.5,0,67.95,1.3,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T03:30:00Z,0,952,64.76,73.18,69.94,73.99,17.4,24.3,11.4,0,67.12,2.33,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T03:45:00Z,0,952,60.29,72.95,70,73.63,17.3,24.3,11.4,0,66.9,1.83,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T04:00:00Z,0,952,66.18,72.75,70.02,73.33,17.4,24.3,11.4,0,66.34,2,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T04:15:00Z,0,952,67.09,72.52,70.05,73.04,17.4,24.3,11.4,0,66.31,1.85,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T04:30:00Z,0,952,66.04,72.32,70.05,72.73,17.4,24.3,11.3,0,66.34,2.7,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T04:45:00Z,0,952,69.22,72.12,70.07,72.48,17.3,24.3,11.3,0,66.02,1.98,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T05:00:00Z,0,952,73.41,71.92,70.07,72.21,17.3,24.3,11.3,0,65.82,2.78,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T05:15:00Z,0,952,84.7,71.74,70.07,71.92,17.3,24.3,11.3,0,65.48,3.87,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T05:30:00Z,0,952,86.9,71.56,70.07,71.69,17.3,24.4,11.2,0,66.11,3.97,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T05:45:00Z,0,952,87.6,71.38,70.07,71.44,17.3,24.3,11.2,0,66.04,3.62,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T06:00:00Z,0,952,89.6,71.22,70.05,71.28,17.3,24.3,11.2,0,65.46,3.44,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T06:30:00Z,0,952,97.4,70.92,70.03,70.95,17.3,24.3,11.2,0,66.34,5.25,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T06:45:00Z,0,952,98.4,70.79,70.02,70.86,17.2,24.3,11.2,0,66.38,5.07,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T07:00:00Z,0,952,99.2,70.66,70,70.84,17.2,24.3,11.2,0,66.43,5.91,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T07:15:00Z,0,952,98.8,70.56,69.96,70.92,17.3,24.2,11.2,0,66.47,5.13,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T07:30:00Z,0,952,98.2,70.48,69.94,71.01,17.3,24.2,11.2,0,66.27,3.97,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T07:45:00Z,0,952,96.4,70.39,69.93,71.04,17.3,24.2,11.2,0,65.86,4.33,
TWB44,Kerr WMA,30.09285,-99.50425,2153,2019-04-07T08:00:00Z,0,952,94.2,70.34,69.89,70.97,17.3,24.2,11.2,0,66.06,4.94,
