MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID,exactly_None,exactly_D0,exactly_D1,exactly_D2,exactly_D3,exactly_D4,check_sum,class_number,class_label,week_start
20260602,48265,Kerr County,TX,83.03,16.97,2.41,0,0,0,6/2/2026,6/8/2026,1,83.03,14.56,2.41,0,0,0,100,0,None,6/2/2026
20260526,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,5/26/2026,6/1/2026,1,82.64,14.95,2.41,0,0,0,100,0,None,5/26/2026
20260519,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,5/19/2026,5/25/2026,1,82.64,14.95,2.41,0,0,0,100,0,None,5/19/2026
20260512,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,5/12/2026,5/18/2026,1,82.64,14.95,2.41,0,0,0,100,0,None,5/12/2026
20260505,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,5/5/2026,5/11/2026,1,82.64,14.95,2.41,0,0,0,100,0,None,5/5/2026
20260428,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,4/28/2026,5/4/2026,1,82.64,14.95,2.41,0,0,0,100,0,None,4/28/2026
20260421,48265,Kerr County,TX,39.53,60.47,2.51,0,0,0,4/21/2026,4/27/2026,1,39.53,57.96,2.51,0,0,0,100,1,D0,4/21/2026
20260414,48265,Kerr County,TX,3.53,96.47,60.72,1.98,0,0,4/14/2026,4/20/2026,1,3.53,35.75,58.74,1.98,0,0,100,2,D1,4/14/2026
20260407,48265,Kerr County,TX,0,100,95.03,1.98,0,0,4/7/2026,4/13/2026,1,0,4.97,93.05,1.98,0,0,100,2,D1,4/7/2026
20260331,48265,Kerr County,TX,0,100,99.87,1.98,0,0,3/31/2026,4/6/2026,1,0,0.13,97.89,1.98,0,0,100,2,D1,3/31/2026
20260324,48265,Kerr County,TX,0,100,52.36,1.98,0,0,3/24/2026,3/30/2026,1,0,47.64,50.38,1.98,0,0,100,2,D1,3/24/2026
20260317,48265,Kerr County,TX,0,100,52.36,1.98,0,0,3/17/2026,3/23/2026,1,0,47.64,50.38,1.98,0,0,100,2,D1,3/17/2026
20260310,48265,Kerr County,TX,0,100,51.6,1.98,0,0,3/10/2026,3/16/2026,1,0,48.4,49.62,1.98,0,0,100,2,D1,3/10/2026
20260303,48265,Kerr County,TX,0,100,51.6,1.98,0,0,3/3/2026,3/9/2026,1,0,48.4,49.62,1.98,0,0,100,2,D1,3/3/2026
20260224,48265,Kerr County,TX,0,100,51.6,1.98,0,0,2/24/2026,3/2/2026,1,0,48.4,49.62,1.98,0,0,100,2,D1,2/24/2026
20260217,48265,Kerr County,TX,0,100,51.6,1.98,0,0,2/17/2026,2/23/2026,1,0,48.4,49.62,1.98,0,0,100,2,D1,2/17/2026
20260210,48265,Kerr County,TX,0,100,51.6,1.98,0,0,2/10/2026,2/16/2026,1,0,48.4,49.62,1.98,0,0,100,2,D1,2/10/2026
20260203,48265,Kerr County,TX,0,100,51.6,1.98,0,0,2/3/2026,2/9/2026,1,0,48.4,49.62,1.98,0,0,100,2,D1,2/3/2026
