MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20260602,48265,Kerr County,TX,83.03,16.97,2.41,0,0,0,06-02-26,06-08-26,1
20260526,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,05-26-26,06-01-26,1
20260519,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,05-19-26,05-25-26,1
20260512,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,05-12-26,05-18-26,1
20260505,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,05-05-26,05-11-26,1
20260428,48265,Kerr County,TX,82.64,17.36,2.41,0,0,0,04-28-26,05-04-26,1
20260421,48265,Kerr County,TX,39.53,60.47,2.51,0,0,0,04-21-26,04-27-26,1
20260414,48265,Kerr County,TX,3.53,96.47,60.72,1.98,0,0,04-14-26,04-20-26,1
20260407,48265,Kerr County,TX,0,100,95.03,1.98,0,0,04-07-26,04-13-26,1
20260331,48265,Kerr County,TX,0,100,99.87,1.98,0,0,03-31-26,04-06-26,1
20260324,48265,Kerr County,TX,0,100,52.36,1.98,0,0,03-24-26,03-30-26,1
20260317,48265,Kerr County,TX,0,100,52.36,1.98,0,0,03-17-26,03-23-26,1
20260310,48265,Kerr County,TX,0,100,51.6,1.98,0,0,03-10-26,03-16-26,1
20260303,48265,Kerr County,TX,0,100,51.6,1.98,0,0,03-03-26,03-09-26,1
20260224,48265,Kerr County,TX,0,100,51.6,1.98,0,0,02-24-26,03-02-26,1
20260217,48265,Kerr County,TX,0,100,51.6,1.98,0,0,02-17-26,02-23-26,1
20260210,48265,Kerr County,TX,0,100,51.6,1.98,0,0,02-10-26,02-16-26,1
20260203,48265,Kerr County,TX,0,100,51.6,1.98,0,0,02-03-26,02-09-26,1
20260127,48265,Kerr County,TX,0,100,51.6,1.98,0,0,01-27-26,02-02-26,1
20260120,48265,Kerr County,TX,0,100,58.04,41.83,0,0,01-20-26,01-26-26,1
20260113,48265,Kerr County,TX,0,100,58.04,41.83,0,0,01-13-26,01-19-26,1
20260106,48265,Kerr County,TX,0,100,58.01,41.83,0,0,01-06-26,01-12-26,1
20251230,48265,Kerr County,TX,0,100,58.01,26.78,0,0,12-30-25,01-05-26,1
20251223,48265,Kerr County,TX,0,100,58.01,26.78,0,0,12-23-25,12-29-25,1
20251216,48265,Kerr County,TX,0,100,58.01,0,0,0,12-16-25,12-22-25,1
20251209,48265,Kerr County,TX,0,100,58.01,0,0,0,12-09-25,12-15-25,1
20251202,48265,Kerr County,TX,0,100,58.01,0,0,0,12-02-25,12-08-25,1
20251125,48265,Kerr County,TX,0,100,58.01,0,0,0,11-25-25,12-01-25,1
20251118,48265,Kerr County,TX,0,100,100,0,0,0,11-18-25,11-24-25,1
20251111,48265,Kerr County,TX,0,100,100,0,0,0,11-11-25,11-17-25,1
20251104,48265,Kerr County,TX,0,100,92.16,0,0,0,11-04-25,11-10-25,1
20251028,48265,Kerr County,TX,0,100,5.49,0,0,0,10-28-25,11-03-25,1
20251021,48265,Kerr County,TX,0,100,5.39,0,0,0,10-21-25,10-27-25,1
20251014,48265,Kerr County,TX,0,100,6.89,0,0,0,10-14-25,10-20-25,1
20251007,48265,Kerr County,TX,8.84,91.16,0,0,0,0,10-07-25,10-13-25,1
20250930,48265,Kerr County,TX,95.93,4.07,0,0,0,0,09-30-25,10-06-25,1
20250923,48265,Kerr County,TX,95.93,4.07,0,0,0,0,09-23-25,09-29-25,1
20250916,48265,Kerr County,TX,95.93,4.07,0,0,0,0,09-16-25,09-22-25,1
20250909,48265,Kerr County,TX,95.93,4.07,0,0,0,0,09-09-25,09-15-25,1
20250902,48265,Kerr County,TX,95.93,4.07,0,0,0,0,09-02-25,09-08-25,1
