system:index,NDVI,date,.geo
2000_02_18,0.402809,02-18-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_05,0.419606,03-05-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_03_21,0.438561,03-21-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_06,0.455502,04-06-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_04_22,0.479188,04-22-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_08,0.503895,05-08-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_05_24,0.500637,05-24-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_09,0.562376,06-09-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_06_25,0.541788,06-25-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_11,0.459215,07-11-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_07_27,0.465023,07-27-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_12,0.432643,08-12-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_08_28,0.416226,08-28-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_13,0.452128,09-13-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_09_29,0.441287,09-29-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_15,0.309023,10-15-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_10_31,0.527447,10-31-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_11_16,0.531308,11-16-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_02,0.497126,12-02-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2000_12_18,0.480712,12-18-00,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_01,0.464766,01-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_01_17,0.477005,01-17-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_02,0.460933,02-02-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_02_18,0.465765,02-18-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_06,0.480661,03-06-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_03_22,0.428833,03-22-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_07,0.58127,04-07-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_04_23,0.598605,04-23-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_09,0.594405,05-09-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_05_25,0.547283,05-25-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_06_10,0.497773,06-10-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_06_26,0.477467,06-26-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_07_12,0.456803,07-12-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_07_28,0.453198,07-28-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_08_13,0.450015,08-13-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_08_29,0.536229,08-29-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_09_14,0.586428,09-14-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_09_30,0.590985,09-30-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_10_16,0.56805,10-16-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_11_01,0.536515,11-01-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_11_17,0.566747,11-17-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_12_03,0.535064,12-03-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
2001_12_19,0.510455,12-19-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
