input_window,mean_macro_f1,clf__batch_size,clf__dropout,clf__learning_rate,clf__neurons,clf__num_layers
4,0.3925184018008811,32,0.4,0.0007501954443620128,64,1
4,0.3897054729809611,32,0.4,0.002762264801799499,32,2
4,0.387291567841995,16,0.2,0.007098936257405904,32,1
4,0.3799918734823459,32,0.0,0.00010975815419380165,128,2
4,0.37989318927231186,32,0.2,0.0016756813861488488,16,2
4,0.3645745675997509,32,0.0,0.001105851072569646,16,3
4,0.36179357228469483,64,0.0,0.0013704648392849023,16,1
12,0.35926994927350736,32,0.2,0.0016756813861488488,16,2
8,0.35430279283526134,32,0.4,0.002762264801799499,32,2
8,0.35146215209008336,16,0.2,0.007098936257405904,32,1
12,0.3495639651896573,16,0.2,0.007098936257405904,32,1
8,0.3453983143453186,32,0.4,0.0007501954443620128,64,1
4,0.33459110874195225,64,0.0,0.009062263471261952,16,2
8,0.3311559745994835,64,0.0,0.0013704648392849023,16,1
12,0.33033582736245665,64,0.0,0.0013704648392849023,16,1
12,0.3277445938988464,32,0.4,0.002762264801799499,32,2
12,0.3255583378894953,32,0.4,0.0007501954443620128,64,1
8,0.3247046435965893,32,0.0,0.001105851072569646,16,3
4,0.3241438380157829,16,0.0,0.0005846326121643416,64,3
4,0.3196026442490151,16,0.2,0.0048812550121497085,128,2
12,0.31646915853484536,32,0.0,0.00010975815419380165,128,2
12,0.31584975874844096,16,0.2,0.0048812550121497085,128,2
8,0.3154979036963734,32,0.2,0.0016756813861488488,16,2
8,0.3105660702659547,32,0.0,0.00010975815419380165,128,2
8,0.3091473920648308,16,0.2,0.0048812550121497085,128,2
8,0.29968203861496173,64,0.0,0.009062263471261952,16,2
12,0.2953576684417431,32,0.0,0.001105851072569646,16,3
8,0.29056600463274723,16,0.0,0.0005846326121643416,64,3
12,0.28913676103076463,16,0.0,0.0005846326121643416,64,3
12,0.27604284296107484,64,0.0,0.009062263471261952,16,2
